dataset,algorithm,k,m,alpha,sim_top_100,sim_top_1000,sim_top_10000,sim_all
weighted_1000_001,NodeSketch,2,8,0.3,0.02,0.118,0.0118,0.2443
weighted_1000_001,NodeSketch,2,16,0.3,0.02,0.105,0.0105,0.2174
weighted_1000_001,NodeSketch,2,32,0.3,0.02,0.095,0.0095,0.1967
weighted_1000_001,NodeSketch,2,64,0.3,0.02,0.085,0.0085,0.176
weighted_1000_001,NodeSketch,2,128,0.3,0.02,0.077,0.0077,0.1594
weighted_1000_001,NodeSketch,2,256,0.3,0.02,0.076,0.0076,0.1573
weighted_1000_005,NodeSketch,2,8,0.3,0.0,0.003,0.0046,0.018
weighted_1000_005,NodeSketch,2,16,0.3,0.01,0.004,0.0017,0.0067
weighted_1000_005,NodeSketch,2,32,0.3,0.0,0.002,0.0007,0.0027
weighted_1000_005,NodeSketch,2,64,0.3,0.0,0.003,0.0005,0.002
weighted_1000_005,NodeSketch,2,128,0.3,0.0,0.001,0.0005,0.002
weighted_1000_005,NodeSketch,2,256,0.3,0.0,0.002,0.0006,0.0024
weighted_1000_01,NodeSketch,2,8,0.3,0.01,0.009,0.0054,0.0107
weighted_1000_01,NodeSketch,2,16,0.3,0.0,0.004,0.0059,0.0117
weighted_1000_01,NodeSketch,2,32,0.3,0.0,0.008,0.0044,0.0087
weighted_1000_01,NodeSketch,2,64,0.3,0.0,0.005,0.0038,0.0076
weighted_1000_01,NodeSketch,2,128,0.3,0.0,0.006,0.0042,0.0083
weighted_1000_01,NodeSketch,2,256,0.3,0.0,0.007,0.0042,0.0083
weighted_2500_0005,NodeSketch,2,8,0.3,0.02,0.024,0.0203,0.1314
weighted_2500_0005,NodeSketch,2,16,0.3,0.01,0.014,0.0143,0.0926
weighted_2500_0005,NodeSketch,2,32,0.3,0.01,0.01,0.0063,0.0408
weighted_2500_0005,NodeSketch,2,64,0.3,0.01,0.007,0.0061,0.0395
weighted_2500_0005,NodeSketch,2,128,0.3,0.01,0.007,0.0043,0.0278
weighted_2500_0005,NodeSketch,2,256,0.3,0.01,0.007,0.004,0.0259
weighted_2500_001,NodeSketch,2,8,0.3,0.0,0.001,0.0074,0.024
weighted_2500_001,NodeSketch,2,16,0.3,0.0,0.001,0.0022,0.0071
weighted_2500_001,NodeSketch,2,32,0.3,0.0,0.003,0.001,0.0032
weighted_2500_001,NodeSketch,2,64,0.3,0.0,0.001,0.0008,0.0026
weighted_2500_001,NodeSketch,2,128,0.3,0.0,0.0,0.0009,0.0029
weighted_2500_001,NodeSketch,2,256,0.3,0.0,0.0,0.0009,0.0029
weighted_2500_005,NodeSketch,2,8,0.3,0.0,0.001,0.0047,0.0066
weighted_2500_005,NodeSketch,2,16,0.3,0.0,0.003,0.0048,0.0059
weighted_2500_005,NodeSketch,2,32,0.3,0.0,0.007,0.005,0.0054
weighted_2500_005,NodeSketch,2,64,0.3,0.0,0.001,0.0045,0.0044
weighted_2500_005,NodeSketch,2,128,0.3,0.0,0.002,0.0038,0.0044
weighted_2500_005,NodeSketch,2,256,0.3,0.0,0.002,0.0045,0.0046
weighted_2500_01,NodeSketch,2,8,0.3,0.01,0.017,0.0101,0.0121
weighted_2500_01,NodeSketch,2,16,0.3,0.02,0.015,0.0122,0.0108
weighted_2500_01,NodeSketch,2,32,0.3,0.03,0.014,0.0113,0.0113
weighted_2500_01,NodeSketch,2,64,0.3,0.01,0.006,0.011,0.0106
weighted_2500_01,NodeSketch,2,128,0.3,0.01,0.005,0.011,0.0107
weighted_2500_01,NodeSketch,2,256,0.3,0.01,0.003,0.0091,0.0107
weighted_5000_0005,NodeSketch,2,8,0.3,0.0,0.001,0.0079,0.0127
weighted_5000_0005,NodeSketch,2,16,0.3,0.0,0.001,0.0028,0.0045
weighted_5000_0005,NodeSketch,2,32,0.3,0.0,0.001,0.0025,0.004
weighted_5000_0005,NodeSketch,2,64,0.3,0.0,0.001,0.002,0.0032
weighted_5000_0005,NodeSketch,2,128,0.3,0.0,0.001,0.0016,0.0026
weighted_5000_0005,NodeSketch,2,256,0.3,0.0,0.001,0.0016,0.0026
weighted_5000_001,NodeSketch,2,8,0.3,0.0,0.001,0.0034,0.009
weighted_5000_001,NodeSketch,2,16,0.3,0.0,0.0,0.0016,0.0019
weighted_5000_001,NodeSketch,2,32,0.3,0.0,0.0,0.0013,0.0015
weighted_5000_001,NodeSketch,2,64,0.3,0.0,0.0,0.0013,0.0014
weighted_5000_001,NodeSketch,2,128,0.3,0.0,0.0,0.0013,0.0012
weighted_5000_001,NodeSketch,2,256,0.3,0.0,0.0,0.0012,0.001
weighted_5000_005,NodeSketch,2,8,0.3,0.0,0.003,0.0046,0.0076
weighted_5000_005,NodeSketch,2,16,0.3,0.01,0.004,0.0058,0.0056
weighted_5000_005,NodeSketch,2,32,0.3,0.0,0.004,0.0043,0.005
weighted_5000_005,NodeSketch,2,64,0.3,0.0,0.003,0.006,0.0057
weighted_5000_005,NodeSketch,2,128,0.3,0.0,0.002,0.0041,0.0053
weighted_5000_005,NodeSketch,2,256,0.3,0.0,0.002,0.0037,0.0048
weighted_5000_01,NodeSketch,2,8,0.3,0.01,0.017,0.0124,0.013
weighted_5000_01,NodeSketch,2,16,0.3,0.0,0.011,0.0106,0.0107
weighted_5000_01,NodeSketch,2,32,0.3,0.0,0.008,0.0103,0.0101
weighted_5000_01,NodeSketch,2,64,0.3,0.01,0.008,0.0099,0.0104
